timestamp,symbol,price,pred_15m,pred_1h
2025-11-27 18:08:00+00:00,XRPUSDT,2.2085,0.8968039154423615,0.9643860813859682
2025-11-27 18:09:00+00:00,BTCUSDT,91487.98,0.6823542714118958,0.5848809466376904
2025-11-27 18:09:00+00:00,ETHUSDT,3022.49,0.9439680576324463,0.9451993563555834
2025-11-27 18:09:00+00:00,SOLUSDT,141.98,0.8654700517654419,0.5603204965591431
2025-11-27 18:09:00+00:00,AVAXUSDT,15.09,0.9661232829093933,0.9975600602504143
2025-11-27 18:09:00+00:00,XRPUSDT,2.2102,0.8912353192590626,0.9521642479405685
2025-11-27 18:10:00+00:00,BTCUSDT,91476.26,0.7514310479164124,0.6793254613876343
2025-11-27 18:10:00+00:00,ETHUSDT,3020.91,0.9206832051277161,0.9604422486351012
2025-11-27 18:10:00+00:00,SOLUSDT,141.91,0.8414876363449328,0.5720556378364563
2025-11-27 18:10:00+00:00,AVAXUSDT,15.1,0.9714679313006054,0.9916717052056669
2025-11-27 18:10:00+00:00,XRPUSDT,2.2077,0.8995007681854283,0.9659825260593258
2025-11-27 18:11:00+00:00,BTCUSDT,91499.99,0.6672787666320801,0.5742541531751192
2025-11-27 18:11:00+00:00,ETHUSDT,3023.04,0.939805269241333,0.9431912581599969
2025-11-27 18:11:00+00:00,SOLUSDT,141.97,0.827154630792497,0.5399386882781982
2025-11-27 18:11:00+00:00,AVAXUSDT,15.11,0.9410106483240751,0.9837313080451701
2025-11-27 18:11:00+00:00,XRPUSDT,2.2077,0.9042997804697935,0.9653701324223711
2025-11-27 18:12:00+00:00,BTCUSDT,91446.46,0.778907060623169,0.7865501642227173
2025-11-27 18:12:00+00:00,ETHUSDT,3022.07,0.9438266158103943,0.9365612513371341
2025-11-27 18:12:00+00:00,SOLUSDT,141.86,0.8566997812024089,0.440746009349823
2025-11-27 18:12:00+00:00,AVAXUSDT,15.1,0.9542589741367793,0.994073432619529
2025-11-27 18:12:00+00:00,XRPUSDT,2.2064,0.898330361594463,0.9778476483445887
2025-11-27 18:13:00+00:00,BTCUSDT,91413.08,0.7774894833564758,0.8862165447141992
2025-11-27 18:13:00+00:00,ETHUSDT,3020.51,0.9314954280853271,0.9475179559475025
2025-11-27 18:13:00+00:00,SOLUSDT,141.85,0.8300642967224121,0.44708675146102905
2025-11-27 18:13:00+00:00,AVAXUSDT,15.11,0.9385153766117157,0.9831675885584704
2025-11-27 18:13:00+00:00,XRPUSDT,2.207,0.9012672475137283,0.9802444482609753
2025-11-27 18:14:00+00:00,BTCUSDT,91414.46,0.8207021355628967,0.8935572405149578
